Year,Month,Day,Hour,Minute,DHI,Clearsky DNI,Clearsky GHI,Clearsky DHI,GHI,DNI
2022,1,8,19,0,63,957,554,63,554,957
2022,1,8,19,30,64,963,571,64,571,963
2022,1,8,20,0,64,963,571,64,571,963
2022,1,8,20,30,64,957,556,64,556,957
2022,1,8,21,0,62,947,525,62,525,947
2022,1,8,21,30,60,928,479,60,479,928
2022,1,8,22,0,57,906,423,57,423,906
2022,1,8,22,30,53,865,351,53,351,865
2022,1,8,23,0,48,802,269,48,269,802
2022,1,8,23,30,41,709,182,41,182,709
2022,1,9,0,0,30,555,93,30,93,555
2022,1,9,0,30,13,270,21,13,21,270
2022,1,9,1,0,0,0,0,0,0,0
2022,1,9,1,30,0,0,0,0,0,0
2022,1,9,2,0,0,0,0,0,0,0
2022,1,9,2,30,0,0,0,0,0,0
2022,1,9,3,0,0,0,0,0,0,0
2022,1,9,3,30,0,0,0,0,0,0
2022,1,9,4,0,0,0,0,0,0,0
2022,1,9,4,30,0,0,0,0,0,0
2022,1,9,5,0,0,0,0,0,0,0
2022,1,9,5,30,0,0,0,0,0,0
2022,1,9,6,0,0,0,0,0,0,0
2022,1,9,6,30,0,0,0,0,0,0
2022,1,9,7,0,0,0,0,0,0,0
2022,1,9,7,30,0,0,0,0,0,0
2022,1,9,8,0,0,0,0,0,0,0
2022,1,9,8,30,0,0,0,0,0,0
2022,1,9,9,0,0,0,0,0,0,0
2022,1,9,9,30,0,0,0,0,0,0
2022,1,9,10,0,0,0,0,0,0,0
2022,1,9,10,30,0,0,0,0,0,0
2022,1,9,11,0,0,0,0,0,0,0
2022,1,9,11,30,0,0,0,0,0,0
2022,1,9,12,0,0,0,0,0,0,0
2022,1,9,12,30,0,0,0,0,0,0
2022,1,9,13,0,0,0,0,0,0,0
2022,1,9,13,30,0,0,0,0,0,0
2022,1,9,14,0,0,0,0,0,0,0
2022,1,9,14,30,0,0,0,0,0,0
2022,1,9,15,0,9,262,18,12,9,1
2022,1,9,15,30,58,559,90,29,62,40
2022,1,9,16,0,40,717,178,40,178,717
2022,1,9,16,30,47,812,267,47,267,812
2022,1,9,17,0,52,874,350,52,350,874
2022,1,9,17,30,56,915,424,56,424,915
2022,1,9,18,0,55,952,484,55,484,952
2022,1,9,18,30,57,971,532,57,532,971
2022,1,9,19,0,58,983,564,58,564,983
2022,1,9,19,30,59,989,581,59,581,989
2022,1,9,20,0,58,1000,587,58,587,1000
2022,1,9,20,30,58,995,572,58,572,995
2022,1,9,21,0,62,973,541,62,541,973
2022,1,9,21,30,60,955,494,60,494,955
2022,1,9,22,0,57,929,434,57,434,929
2022,1,9,22,30,53,889,362,53,362,889
2022,1,9,23,0,47,832,279,47,279,832
2022,1,9,23,30,40,742,190,40,190,742
2022,1,10,0,0,30,597,100,30,100,597
2022,1,10,0,30,14,317,24,14,24,317
2022,1,10,1,0,0,0,0,0,0,0
2022,1,10,1,30,0,0,0,0,0,0
2022,1,10,2,0,0,0,0,0,0,0
2022,1,10,2,30,0,0,0,0,0,0
2022,1,10,3,0,0,0,0,0,0,0
2022,1,10,3,30,0,0,0,0,0,0
2022,1,10,4,0,0,0,0,0,0,0
2022,1,10,4,30,0,0,0,0,0,0
2022,1,10,5,0,0,0,0,0,0,0
2022,1,10,5,30,0,0,0,0,0,0
2022,1,10,6,0,0,0,0,0,0,0
2022,1,10,6,30,0,0,0,0,0,0
2022,1,10,7,0,0,0,0,0,0,0
2022,1,10,7,30,0,0,0,0,0,0
2022,1,10,8,0,0,0,0,0,0,0
2022,1,10,8,30,0,0,0,0,0,0
2022,1,10,9,0,0,0,0,0,0,0
2022,1,10,9,30,0,0,0,0,0,0
2022,1,10,10,0,0,0,0,0,0,0
2022,1,10,10,30,0,0,0,0,0,0
2022,1,10,11,0,0,0,0,0,0,0
2022,1,10,11,30,0,0,0,0,0,0
2022,1,10,12,0,0,0,0,0,0,0
2022,1,10,12,30,0,0,0,0,0,0
2022,1,10,13,0,0,0,0,0,0,0
2022,1,10,13,30,0,0,0,0,0,0
2022,1,10,14,0,0,0,0,0,0,0
2022,1,10,14,30,0,0,0,0,0,0
2022,1,10,15,0,9,304,19,12,9,1
2022,1,10,15,30,60,601,94,27,68,76
2022,1,10,16,0,38,752,184,38,184,752
2022,1,10,16,30,45,845,275,45,275,845
2022,1,10,17,0,151,904,359,50,343,562
2022,1,10,17,30,54,945,434,54,434,945
2022,1,10,18,0,132,973,496,56,493,799
2022,1,10,18,30,158,992,545,58,486,669
2022,1,10,19,0,148,1005,578,59,559,794
2022,1,10,19,30,59,1011,595,59,595,1011
2022,1,10,20,0,59,1011,596,59,596,1011
2022,1,10,20,30,59,1006,581,59,581,1006
2022,1,10,21,0,153,992,550,59,505,713
2022,1,10,21,30,58,975,504,58,504,975
2022,1,10,22,0,56,946,443,56,443,946
2022,1,10,22,30,52,907,370,52,370,907
2022,1,10,23,0,110,846,287,48,236,447
2022,1,10,23,30,91,758,196,41,161,343
2022,1,11,0,0,66,612,105,31,74,67
2022,1,11,0,30,14,335,26,15,14,1
2022,1,11,1,0,0,0,0,0,0,0
2022,1,11,1,30,0,0,0,0,0,0
