x1,x2,x3,x4,x5
1.3288674174485116e9,1.3274756080675416e9,1.3267148207141373e9,1.325863191999484e9,1.3238991031621046e9
1.3288674174485116e9,1.3292104793292997e9,1.329344950998128e9,1.3292366777681596e9,1.3292061139628768e9
1.3288674174485116e9,1.3278796433916883e9,1.3272600320410683e9,1.3274340640398953e9,1.3272969104499812e9
1.3288674174485116e9,1.3304755875822027e9,1.332138236750112e9,1.3338822643006036e9,1.3366355684270196e9
1.3288674174485116e9,1.3288480831259565e9,1.3282665398283849e9,1.329742117797316e9,1.3300418956798577e9
1.3288674174485116e9,1.327710026312194e9,1.3274021452910097e9,1.327483653880001e9,1.3275358368601067e9
1.3288674174485116e9,1.3285245294306607e9,1.3284219531109996e9,1.3283378505437255e9,1.329179411597745e9
1.3288674174485116e9,1.3276204368953252e9,1.326695618732283e9,1.326987739902765e9,1.3263775697413485e9
1.3288674174485116e9,1.3275715805463827e9,1.3267254198459523e9,1.326486541614901e9,1.32524850308716e9
1.3288674174485116e9,1.3290310979534612e9,1.3282981533681684e9,1.327096038186431e9,1.3268606261817524e9
1.3288674174485116e9,1.3295522803887436e9,1.329595305650539e9,1.3288370685895076e9,1.3313062575202618e9
1.3288674174485116e9,1.3272488801116133e9,1.3245768831910453e9,1.322268179293381e9,1.3218360549993172e9
1.3288674174485116e9,1.328003990427292e9,1.3280610881170943e9,1.3280775575224957e9,1.3286973475960722e9
1.3288674174485116e9,1.3295964780007005e9,1.3305854835099163e9,1.3313188607723851e9,1.3311937323440335e9
1.3288674174485116e9,1.3294442697055907e9,1.3305056079222512e9,1.329734380031372e9,1.3295546570687094e9
1.3288674174485116e9,1.3274479055847046e9,1.3281901379939966e9,1.328187316560249e9,1.3279943843597426e9
1.3288674174485116e9,1.3280579349077349e9,1.3275786492896852e9,1.326766986599218e9,1.326136319479752e9
1.3288674174485116e9,1.3266809180550668e9,1.3259436640422661e9,1.3247143084709392e9,1.323746573058745e9
1.3288674174485116e9,1.3293983364398613e9,1.3307772108254335e9,1.3320299673553581e9,1.3316442249438465e9
1.3288674174485116e9,1.32788781456453e9,1.32654802309614e9,1.3266464757381153e9,1.3274744036476269e9
1.3288674174485116e9,1.328252792891245e9,1.32745557642901e9,1.327699226287729e9,1.3274531167540035e9
1.3288674174485116e9,1.3282338260090368e9,1.3276248865958502e9,1.327665103120603e9,1.3268216632865534e9
1.3288674174485116e9,1.3287437899665186e9,1.3288117626908133e9,1.3299667575230587e9,1.3298606893063397e9
1.3288674174485116e9,1.330051846756923e9,1.3308100167523093e9,1.3320311645160525e9,1.3328765658782897e9
1.3288674174485116e9,1.330098523656574e9,1.3306498870850887e9,1.331853417676507e9,1.334495449490376e9
