Location,Result,Units,Datetime
Lake Mead Hoover Dam and Powerplant,27079.1,af,09/09/21
Lake Mead Hoover Dam and Powerplant,22173.8,af,09/10/21
Lake Mead Hoover Dam and Powerplant,17896.9,af,09/11/21
Lake Mead Hoover Dam and Powerplant,15962,af,09/12/21
Lake Mead Hoover Dam and Powerplant,26963.9,af,09/13/21
Lake Mead Hoover Dam and Powerplant,21460,af,09/14/21
Lake Mead Hoover Dam and Powerplant,17779.1,af,09/15/21
Lake Mead Hoover Dam and Powerplant,19653.9,af,09/16/21
Lake Mead Hoover Dam and Powerplant,21554,af,09/17/21
Lake Mead Hoover Dam and Powerplant,16593,af,09/18/21
Lake Mead Hoover Dam and Powerplant,18024,af,09/19/21
Lake Mead Hoover Dam and Powerplant,17915,af,09/20/21
Lake Mead Hoover Dam and Powerplant,21102.9,af,09/21/21
Lake Mead Hoover Dam and Powerplant,26023.9,af,09/22/21
Lake Mead Hoover Dam and Powerplant,23721.3,af,09/23/21
Lake Mead Hoover Dam and Powerplant,18124,af,09/24/21
Lake Mead Hoover Dam and Powerplant,18450.1,af,09/25/21
Lake Mead Hoover Dam and Powerplant,19202.1,af,09/26/21
Lake Mead Hoover Dam and Powerplant,16906,af,09/27/21
Lake Mead Hoover Dam and Powerplant,16301.1,af,09/28/21
Lake Mead Hoover Dam and Powerplant,17541.9,af,09/29/21
Lake Mead Hoover Dam and Powerplant,15106.9,af,09/30/21
Lake Mead Hoover Dam and Powerplant,20143.9,af,10/01/21
Lake Mead Hoover Dam and Powerplant,20753.9,af,10/02/21
Lake Mead Hoover Dam and Powerplant,19068.1,af,10/03/21
Lake Mead Hoover Dam and Powerplant,24021,af,10/04/21
Lake Mead Hoover Dam and Powerplant,21999,af,10/05/21
Lake Mead Hoover Dam and Powerplant,23104,af,10/06/21
Lake Mead Hoover Dam and Powerplant,21087.9,af,10/07/21
Lake Mead Hoover Dam and Powerplant,19708.9,af,10/08/21
Lake Mead Hoover Dam and Powerplant,17491.2,af,10/09/21
Lake Mead Hoover Dam and Powerplant,15517,af,10/10/21
Lake Mead Hoover Dam and Powerplant,12237.1,af,10/11/21
Lake Mead Hoover Dam and Powerplant,11001.8,af,10/12/21
Lake Mead Hoover Dam and Powerplant,8449.01,af,10/13/21
Lake Mead Hoover Dam and Powerplant,10217.9,af,10/14/21
Lake Mead Hoover Dam and Powerplant,8634.96,af,10/15/21
Lake Mead Hoover Dam and Powerplant,7627.11,af,10/16/21
Lake Mead Hoover Dam and Powerplant,7621.24,af,10/17/21
Lake Mead Hoover Dam and Powerplant,19049.1,af,10/18/21
Lake Mead Hoover Dam and Powerplant,20428.9,af,10/19/21
Lake Mead Hoover Dam and Powerplant,22560,af,10/20/21
Lake Mead Hoover Dam and Powerplant,26357.9,af,10/21/21
Lake Mead Hoover Dam and Powerplant,23910,af,10/22/21
Lake Mead Hoover Dam and Powerplant,21859.9,af,10/23/21
Lake Mead Hoover Dam and Powerplant,20254.2,af,10/24/21
Lake Mead Hoover Dam and Powerplant,21940,af,10/25/21
Lake Mead Hoover Dam and Powerplant,21180.9,af,10/26/21
Lake Mead Hoover Dam and Powerplant,23039,af,10/27/21
Lake Mead Hoover Dam and Powerplant,24599.1,af,10/28/21
Lake Mead Hoover Dam and Powerplant,25939.1,af,10/29/21
Lake Mead Hoover Dam and Powerplant,20864,af,10/30/21
Lake Mead Hoover Dam and Powerplant,19906.1,af,10/31/21
Lake Mead Hoover Dam and Powerplant,24536,af,11/01/21
Lake Mead Hoover Dam and Powerplant,26823.1,af,11/02/21
Lake Mead Hoover Dam and Powerplant,27553.1,af,11/03/21
Lake Mead Hoover Dam and Powerplant,25960,af,11/04/21
Lake Mead Hoover Dam and Powerplant,24318,af,11/05/21
Lake Mead Hoover Dam and Powerplant,20193.1,af,11/06/21
Lake Mead Hoover Dam and Powerplant,19486.2,af,11/07/21
Lake Mead Hoover Dam and Powerplant,20979.1,af,11/08/21
Lake Mead Hoover Dam and Powerplant,21385.1,af,11/09/21
Lake Mead Hoover Dam and Powerplant,18501,af,11/10/21
Lake Mead Hoover Dam and Powerplant,19669.7,af,11/11/21
Lake Mead Hoover Dam and Powerplant,18476,af,11/12/21
Lake Mead Hoover Dam and Powerplant,15302.2,af,11/13/21
Lake Mead Hoover Dam and Powerplant,18384,af,11/14/21
Lake Mead Hoover Dam and Powerplant,19509,af,11/15/21
Lake Mead Hoover Dam and Powerplant,17699.2,af,11/16/21
Lake Mead Hoover Dam and Powerplant,20536.9,af,11/17/21
Lake Mead Hoover Dam and Powerplant,22702.9,af,11/18/21
Lake Mead Hoover Dam and Powerplant,24182.8,af,11/19/21
Lake Mead Hoover Dam and Powerplant,20867.9,af,11/20/21
Lake Mead Hoover Dam and Powerplant,19579,af,11/21/21
Lake Mead Hoover Dam and Powerplant,22110.9,af,11/22/21
Lake Mead Hoover Dam and Powerplant,22145,af,11/23/21
Lake Mead Hoover Dam and Powerplant,23067.9,af,11/24/21
Lake Mead Hoover Dam and Powerplant,20322.9,af,11/25/21
Lake Mead Hoover Dam and Powerplant,17604,af,11/26/21
Lake Mead Hoover Dam and Powerplant,18609,af,11/27/21
Lake Mead Hoover Dam and Powerplant,20277,af,11/28/21
Lake Mead Hoover Dam and Powerplant,25793.1,af,11/29/21
Lake Mead Hoover Dam and Powerplant,25747,af,11/30/21
Lake Mead Hoover Dam and Powerplant,18295,af,12/01/21
Lake Mead Hoover Dam and Powerplant,18875,af,12/02/21
Lake Mead Hoover Dam and Powerplant,16934.1,af,12/03/21
Lake Mead Hoover Dam and Powerplant,13235,af,12/04/21
Lake Mead Hoover Dam and Powerplant,16219,af,12/05/21
Lake Mead Hoover Dam and Powerplant,16410,af,12/06/21
Lake Mead Hoover Dam and Powerplant,15559,af,12/07/21
Lake Mead Hoover Dam and Powerplant,17116.9,af,12/08/21
Lake Mead Hoover Dam and Powerplant,16502.2,af,12/09/21
Lake Mead Hoover Dam and Powerplant,15921,af,12/10/21
Lake Mead Hoover Dam and Powerplant,14086,af,12/11/21
Lake Mead Hoover Dam and Powerplant,13999,af,12/12/21
Lake Mead Hoover Dam and Powerplant,18256.1,af,12/13/21
Lake Mead Hoover Dam and Powerplant,17079.9,af,12/14/21
Lake Mead Hoover Dam and Powerplant,20164.9,af,12/15/21
Lake Mead Hoover Dam and Powerplant,19681.8,af,12/16/21
Lake Mead Hoover Dam and Powerplant,15089.9,af,12/17/21
Lake Mead Hoover Dam and Powerplant,11546.8,af,12/18/21
Lake Mead Hoover Dam and Powerplant,16192,af,12/19/21
Lake Mead Hoover Dam and Powerplant,17193.8,af,12/20/21
Lake Mead Hoover Dam and Powerplant,19735,af,12/21/21
Lake Mead Hoover Dam and Powerplant,17499,af,12/22/21
Lake Mead Hoover Dam and Powerplant,15519.1,af,12/23/21
Lake Mead Hoover Dam and Powerplant,13794,af,12/24/21
Lake Mead Hoover Dam and Powerplant,14401.1,af,12/25/21
Lake Mead Hoover Dam and Powerplant,15290.9,af,12/26/21
Lake Mead Hoover Dam and Powerplant,16019,af,12/27/21
Lake Mead Hoover Dam and Powerplant,18521.1,af,12/28/21
Lake Mead Hoover Dam and Powerplant,17331.1,af,12/29/21
Lake Mead Hoover Dam and Powerplant,14436,af,12/30/21
Lake Mead Hoover Dam and Powerplant,11669,af,12/31/21
Lake Mead Hoover Dam and Powerplant,13927.8,af,01/01/22
Lake Mead Hoover Dam and Powerplant,19706.9,af,01/02/22
Lake Mead Hoover Dam and Powerplant,19087.1,af,01/03/22
Lake Mead Hoover Dam and Powerplant,23367.9,af,01/04/22
Lake Mead Hoover Dam and Powerplant,22240,af,01/05/22
Lake Mead Hoover Dam and Powerplant,20015.9,af,01/06/22
Lake Mead Hoover Dam and Powerplant,19166.9,af,01/07/22
Lake Mead Hoover Dam and Powerplant,15765.2,af,01/08/22
Lake Mead Hoover Dam and Powerplant,15219.8,af,01/09/22
Lake Mead Hoover Dam and Powerplant,20056.9,af,01/10/22
Lake Mead Hoover Dam and Powerplant,18095,af,01/11/22
Lake Mead Hoover Dam and Powerplant,16285,af,01/12/22
Lake Mead Hoover Dam and Powerplant,17681.9,af,01/13/22
Lake Mead Hoover Dam and Powerplant,15969.1,af,01/14/22
Lake Mead Hoover Dam and Powerplant,17736,af,01/15/22
Lake Mead Hoover Dam and Powerplant,18170.2,af,01/16/22
Lake Mead Hoover Dam and Powerplant,21190.2,af,01/17/22
Lake Mead Hoover Dam and Powerplant,21923.1,af,01/18/22
Lake Mead Hoover Dam and Powerplant,24066,af,01/19/22
Lake Mead Hoover Dam and Powerplant,25756.8,af,01/20/22
Lake Mead Hoover Dam and Powerplant,22839,af,01/21/22
Lake Mead Hoover Dam and Powerplant,21875,af,01/22/22
Lake Mead Hoover Dam and Powerplant,17464,af,01/23/22
Lake Mead Hoover Dam and Powerplant,19963,af,01/24/22
Lake Mead Hoover Dam and Powerplant,20046.2,af,01/25/22
Lake Mead Hoover Dam and Powerplant,23760.1,af,01/26/22
Lake Mead Hoover Dam and Powerplant,24605,af,01/27/22
Lake Mead Hoover Dam and Powerplant,27484,af,01/28/22
Lake Mead Hoover Dam and Powerplant,24365.1,af,01/29/22
Lake Mead Hoover Dam and Powerplant,22546,af,01/30/22
Lake Mead Hoover Dam and Powerplant,29149.9,af,01/31/22
Lake Mead Hoover Dam and Powerplant,20849.7,af,02/01/22
Lake Mead Hoover Dam and Powerplant,21418.8,af,02/02/22
Lake Mead Hoover Dam and Powerplant,24763.7,af,02/03/22
Lake Mead Hoover Dam and Powerplant,22946.9,af,02/04/22
Lake Mead Hoover Dam and Powerplant,19854,af,02/05/22
Lake Mead Hoover Dam and Powerplant,19689.9,af,02/06/22
Lake Mead Hoover Dam and Powerplant,18335.9,af,02/07/22
Lake Mead Hoover Dam and Powerplant,17028,af,02/08/22
Lake Mead Hoover Dam and Powerplant,18328,af,02/09/22
Lake Mead Hoover Dam and Powerplant,22382.1,af,02/10/22
Lake Mead Hoover Dam and Powerplant,20106.8,af,02/11/22
Lake Mead Hoover Dam and Powerplant,15508,af,02/12/22
Lake Mead Hoover Dam and Powerplant,15742.1,af,02/13/22
Lake Mead Hoover Dam and Powerplant,19832,af,02/14/22
Lake Mead Hoover Dam and Powerplant,18540.9,af,02/15/22
Lake Mead Hoover Dam and Powerplant,22028,af,02/16/22
Lake Mead Hoover Dam and Powerplant,23283.2,af,02/17/22
Lake Mead Hoover Dam and Powerplant,23657.7,af,02/18/22
Lake Mead Hoover Dam and Powerplant,21192.1,af,02/19/22
Lake Mead Hoover Dam and Powerplant,20859.1,af,02/20/22
Lake Mead Hoover Dam and Powerplant,21354,af,02/21/22
Lake Mead Hoover Dam and Powerplant,22259,af,02/22/22
Lake Mead Hoover Dam and Powerplant,29266.1,af,02/23/22
Lake Mead Hoover Dam and Powerplant,24225.9,af,02/24/22
Lake Mead Hoover Dam and Powerplant,26997,af,02/25/22
Lake Mead Hoover Dam and Powerplant,21387.9,af,02/26/22
Lake Mead Hoover Dam and Powerplant,18010,af,02/27/22
Lake Mead Hoover Dam and Powerplant,20578,af,02/28/22
Lake Mead Hoover Dam and Powerplant,25711.1,af,03/01/22
Lake Mead Hoover Dam and Powerplant,30193.1,af,03/02/22
Lake Mead Hoover Dam and Powerplant,32006.8,af,03/03/22
Lake Mead Hoover Dam and Powerplant,29428,af,03/04/22
Lake Mead Hoover Dam and Powerplant,29524.1,af,03/05/22
Lake Mead Hoover Dam and Powerplant,28189,af,03/06/22
Lake Mead Hoover Dam and Powerplant,32956.9,af,03/07/22
Lake Mead Hoover Dam and Powerplant,29873.1,af,03/08/22
