datetime,total release,storage (ac-ft)
2/7/2016,10440.25,10347708.2
2/8/2016,9457.58333,10351081.8
2/9/2016,9761.125,10354455.4
2/10/2016,9683.5,10355298.8
2/11/2016,12884.5,10351925.2
2/12/2016,11042.3333,10356985.6
2/13/2016,11427.375,10362046
2/14/2016,10536.625,10364576.2
2/15/2016,11186.9167,10371323.4
2/16/2016,9728.45833,10375540.4
2/17/2016,10253.25,10376383.8
2/18/2016,16850.7083,10368793.2
2/19/2016,14919.2917,10368793.2
2/20/2016,10246.5833,10373010.2
2/21/2016,13150.7083,10374697
2/22/2016,15917.6667,10370480
2/23/2016,13532.875,10367106.4
